X_coordinate,Y_coordinate,Z_coordinate
82.6051254272461,107.91551208496094,43.63949966430664
78.03514099121094,96.45899963378906,100.0
77.38021850585938,94.90541076660156,36.657264709472656
77.38021850585938,94.90541076660156,36.657264709472656
78.03514099121094,96.45899963378906,100.0
71.00086975097656,80.81314086914062,100.0
77.38021850585938,94.90541076660156,36.657264709472656
71.00086975097656,80.81314086914062,100.0
69.69857025146484,78.10633087158203,46.017330169677734
69.69857025146484,78.10633087158203,46.017330169677734
71.00086975097656,80.81314086914062,100.0
63.522010803222656,65.97085571289062,100.0
69.69857025146484,78.10633087158203,46.017330169677734
63.522010803222656,65.97085571289062,100.0
61.51887512207031,62.22938919067383,55.68321228027344
61.51887512207031,62.22938919067383,55.68321228027344
63.522010803222656,65.97085571289062,100.0
59.703556060791016,58.9310188293457,100.0
61.51887512207031,62.22938919067383,55.68321228027344
59.703556060791016,58.9310188293457,100.0
57.33494567871094,54.70854949951172,60.51731491088867
57.33494567871094,54.70854949951172,60.51731491088867
59.703556060791016,58.9310188293457,100.0
55.87919235229492,52.18803024291992,100.0
57.33494567871094,54.70854949951172,60.51731491088867
55.87919235229492,52.18803024291992,100.0
53.142303466796875,47.52082824707031,65.2818374633789
53.142303466796875,47.52082824707031,65.2818374633789
55.87919235229492,52.18803024291992,100.0
52.0839958190918,45.77387619018555,100.0
53.142303466796875,47.52082824707031,65.2818374633789
52.0839958190918,45.77387619018555,100.0
48.98148727416992,40.70735549926758,69.92395782470703
48.98148727416992,40.70735549926758,69.92395782470703
52.0839958190918,45.77387619018555,100.0
48.35304641723633,39.720542907714844,100.0
48.98148727416992,40.70735549926758,69.92395782470703
48.35304641723633,39.720542907714844,100.0
44.893035888671875,34.309268951416016,74.39083099365234
44.893035888671875,34.309268951416016,74.39083099365234
48.35304641723633,39.720542907714844,100.0
44.72142791748047,34.06001663208008,100.0
44.893035888671875,34.309268951416016,74.39083099365234
44.72142791748047,34.06001663208008,100.0
41.224212646484375,28.824277877807617,100.0
78.03514099121094,96.45899963378906,100.0
82.6051254272461,107.91551208496094,43.63949966430664
84.34325408935547,112.6479263305664,100.0
84.34325408935547,112.6479263305664,100.0
82.6051254272461,107.91551208496094,43.63949966430664
87.16375732421875,120.92166900634766,50.982906341552734
84.34325408935547,112.6479263305664,100.0
