,0
0,2752.666666666667
1,6962.000000000001
2,11296.666666666666
3,14268.666666666664
4,16429.333333333343
5,18981.333333333347
6,21010.000000000004
7,22746.666666666646
8,24585.99999999999
9,26162.666666666657
10,27703.333333333325
11,29176.00000000001
12,30571.333333333343
13,31951.33333333334
14,33183.33333333334
15,34481.33333333333
16,35693.333333333336
17,36755.333333333336
18,38081.333333333336
19,39084.0
20,40018.666666666686
21,41112.00000000003
22,42176.66666666663
23,43171.333333333336
24,44006.66666666668
25,45112.00000000004
26,45960.66666666671
27,46858.000000000044
28,47765.33333333333
29,48618.00000000002
30,49480.66666666673
31,50250.666666666715
32,51106.00000000002
33,51850.000000000044
34,52650.0
35,53421.3333333333
36,54131.99999999996
37,54812.000000000015
38,55482.6666666667
39,56245.333333333365
40,56878.666666666664
41,57613.99999999996
42,58055.33333333337
43,58657.333333333336
44,59314.6666666666
45,59799.33333333339
46,60477.33333333333
47,61105.33333333326
48,61695.99999999996
49,62213.99999999999
50,71336.66666666664
51,71725.33333333333
52,72313.00000000004
53,72640.0
54,73371.66666666666
55,73678.33333333334
56,74488.66666666667
57,74617.33333333333
58,75429.66666666672
59,75607.0
60,76236.99999999997
61,76555.66666666666
62,76699.33333333336
63,77408.0
64,77554.33333333333
65,78118.66666666656
66,78476.0
67,78541.00000000006
68,79347.66666666667
69,79490.66666666666
70,79520.66666666667
71,80232.66666666666
72,80377.66666666666
73,80428.0
74,80711.00000000003
75,81344.66666666667
76,81342.00000000001
77,81439.33333333333
78,81936.33333333343
79,82306.0
80,82361.66666666667
81,82382.33333333333
82,82492.0
83,82535.33333333333
84,83200.3333333333
85,83340.33333333333
86,83382.0
87,83422.66666666666
88,83462.66666666667
89,83518.00000000001
90,83555.66666666666
91,84157.99999999997
92,84311.66666666667
93,84375.0
94,84425.33333333334
95,84443.0
96,84470.0
97,84533.33333333334
98,84503.66666666667
99,84535.66666666667
100,13098.333333333338
